TOP LEVEL,BARRIERS,EXAMPLES,SPECIFIC ISSUES,ANSWER,Source?
,,"My prefered name differs from my legal name, and has not been legally changed from my birth name. I am concerned about being questioned in public when I go to vote.",I am gender diverse and have changed my name,"Enrol – While the Electoral Act requires your 'full' name to be used for voting and enrolment purposes, the Electoral Comissions does allow preferred names to be used (this does not have to match a legal record). 

If you are already enrolled but would like to change your enrolment details to match your preferred name, and this name vastly differs from the name that your are currently enrolled under, please ensure that you include this name when you are updating your details e.g., (previously enrolled as *Full name*) - this is to avoid potential issues regarding duplicate records. 

Please note, you may be limited when trying to use the online enrolment service, as it uses the details from your New Zealand passport, drivers licence or verified RealMe identity. If your preferred name does not match these records, you may need to complete a paper enrolment form instead and then upload, email or post it to the Electoral Commission. You may be contacted by the Electoral Comission to double check these details.

Vote – You can vote using your preferred name if you were able to update your details before the enrolment due date on **25 October**.
",https://www.justice.govt.nz/assets/Documents/Publications/Independent-Electoral-Review-Final-Report-November-2023.pdf Pg 271 & Electoral Act s 83(2)(a)
,,"I no longer identify with my divorce husbands surname. Can I vote with my maiden name, despite not legally changing my name on my ID?","I have made a change to my legal name e.g. through marriage, divorce, adoption, or reclaiming an ingoa Māori","Enrol – While the Electoral Act requires your 'full' name to be used for voting and enrolment purposes, the Electoral Comissions does allow preferred names to be used (this does not have to match a legal record). 

If you are already enrolled but would like to change your enrolment details to match your preferred name, and this name vastly differs from the name that your are currently enrolled under, please ensure that you include this name when you are updating your details e.g., (previously enrolled as *Full name*) - this is to avoid potential issues regarding duplicate records. 

Please note, you may be limited when trying to use the online enrolment service, as it uses the details from your New Zealand passport, drivers licence or verified RealMe identity. If your preferred name does not match these records, you may need to complete a paper enrolment form instead and then upload, email or post it to the Electoral Commission. You may be contacted by the Electoral Comission to double check these details.

Vote – You can vote using your preferred name if you were able to update your details before the enrolment due date on **25 October**.",https://www.justice.govt.nz/assets/Documents/Publications/Independent-Electoral-Review-Final-Report-November-2023.pdf Pg 271 & Electoral Act s 83(2)(a)
,,,,,
,Age,,Age,,
,,I am currently 17 years old and won't turn 18 until the day before election. Can I still enrol to vote?,I am 17 but will turn 18 on or before the election day,"Enrol – You can complete an enrolment form when you are 17. On your 18th birthday, you will be automatically enrolled and able to vote.

Vote – If you turn 18 on election day, you can still vote as normal, provided you enrolled beforehand. If you enrolled **before 4 October**, you can cast an [[election-day-vote]]. If you enrolled **after 4 October but before 25 October**, you will cast a [[special-vote]] at the voting place.",https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote & https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote & https://elections.nz/guidance-and-rules/candidate-hub/resources/enrolment-and-resources-2 & Electoral Act s 82(2)
,,,,,
,No address,,"I don't have a normal, fixed address",,
,,"I'll be in a remote area during the election with no voting places near me, how can I cast a vote?",I live in a remote area,"Vote – You can authorise someone to collect your voting papers from a voting place on your behalf. If you cannot get to a voting place and do not have someone who can collect your voting papers, contact your electorate manager. 

They may be able to arrange for your voting papers to be delivered to you and then collected once you have completed them. If you are in a remote location within Aotearoa New Zealand, you may also be able to cast a [[special-vote]] if voting at a polling place would not be practicable without causing hardship or serious inconvenience. 

If you are unable to reach a voting place because you are in a remote location—for example, on a remote island administered by the Department of Conservation, at an offshore installation, or working on a vessel during the voting period—the Electoral Commission has a separate process for arranging voting services. For more information, call 0800 36 76 56.","https://www.justice.govt.nz/assets/Documents/Publications/Independent-Electoral-Review-Final-Report-November-2023.pdf pg 274, 11.72. & Electoral Act s 61(1)(f) & https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place "
,,"I work on a cruise ship and will be working away from port during election time, how can I enrol and vote?",I work at sea,"Enrol – Your residential address for enrolment purposes does not change if you are temporarily absent from it.

Vote – If you are working on a ship that is in port and you are enrolled, or eligible to enrol, in the electorate where the ship is located, your ship’s master must allow you to go ashore to vote. If the ship will not be in port, or will not return to port, during the voting period, you may be eligible for a [[special-vote]]. 

For help with enrolling and voting, contact the Electoral Commission closer to election time on 0800 36 76 56 or at <enquiries@elections.govt.nz>.",https://vote.nz/2026-general-election/voting-in-the-election/cant-get-to-a-voting-place & Electoral Act Section 72(6)(a) and s 61(b) & https://vote.nz/contact-us 
,,"For the past few years, I have been living full-time on a boat. Can I enrol to vote?",I live on a boat,"Enrol – If your home is on a ship or boat that is permanently moored in a harbour, use the address of the ship or boat as your residential address. If your home is on a travelling ship or boat, use the last New Zealand address where you lived for at least one month, even if this was some time ago. You will also need to provide a postal address where you can receive mail, such as a PO Box or the address of a friend, family member, church or support group.",https://elections.nz/assets/OIA-requests/2026/2026-04-Documents-released.pdf Pg. 25 & Electoral Act s 72(11)
,,"I am experiencing homelessness/am unhoused and do no have an address to enrol, how can I still complete my enrolment form?",I do not have stable housing or a normal address,"Enrol – You can enrol at a place where you spend a lot of time, or use your last residential address where you lived for at least one month, even if this was some time ago. If you do not feel safe receiving mail at this address, you can provide a different *postal* address where you can safely receive correspondence, such as the address of a friend, family member, church or support group.

Vote – The Electoral Commission lists all voting places online, so you can find one near you, or you can call 0800 36 76 56 for assistance. Voting places are often located at community hubs. 

To vote, simply go to a voting place during the [[advance-voting]] period from **26 October to 6 October** or on election day on **7 October**. The voting team will support you through the process, and you do not need to bring any form of ID.",https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote & https://vote.nz/voting/how-to-vote/facts-about-new-zealand-elections & Electoral Act s 72(3)
,,"I am a kiwi who has recently moved overseas and do not have a New Zealand address, can I still vote? ",I live overseas and do not have a New Zealand address,"Enrol – If you are a New Zealand citizen who has lived in New Zealand continuously for more than 12 months at some point in your life and have been in New Zealand within the last three years, you are still eligible to enrol to vote. 

Not having a current New Zealand address does not prevent you from enrolling. Your electorate will be based on the last New Zealand address where you lived for at least **one month**, and you can use your overseas address as your *postal* address to receive correspondence. 

You can enrol online using a **New Zealand passport**, **New Zealand drivers licence** or **verified RealMe identity**. If you do not have any of these, you can enrol using a paper form.

Vote – If you are overseas, you can download your voting papers from the Electoral Commission’s website, complete them and upload them online (uou cannot return voting papers by email).

A link to download your voting papers will be available when overseas voting opens on **21 October**.You can complete the papers digitally or by hand. If completing them by hand, you can scan and upload them online, or post or hand-deliver them to an overseas voting place. 

If uploading your voting papers, they must be received by **7pm (NZ time)** on election day, which is **7 November**. 
You may also be able to vote in person at an overseas voting place. A list of overseas voting places will be available on the Electoral Commission’s website before the election.",https://vote.nz/enrolling/get-ready-to-enrol/enrol-from-overseas? & https://vote.nz/2026-general-election/voting-in-the-election/vote-from-overseas 
,,,,,
,Enrolment Issues ,,Enrolment issues ,,
,,I haven't voted in a while. I have tried to enrol but found I have been placed on the dormant roll. How do I vote?,I have been placed on the dormant roll,"Enrol – To come off the [dormant-roll], you simply need to update your enrolment address. You must do this before voting starts on **26 October 2026**, as you cannot update your enrolment at a voting place. To check or update your enrolment details, visit vote.nz or call 0800 36 76 56.

Vote – If you update your enrolment address before enrolment closes, you can vote normally. 

If you do not update your address **before midnight on 25 October** and have been on the dormant roll for less than three years, you can still vote. If your current address is in the same electorate as your previous enrolment address, you can cast both a party vote and an electorate vote. If your current address is in a different electorate, you can only cast a party vote.",https://elections.nz/assets/2026-General-Election/2026-Factsheet-Make-Sure-Youre-Enrolled-for-the-2026-General-Election-v2.pdf Electoral Act s 89CB and s 109.
,,"I have moved address recently, how do I change my enrollment information?",My enrolment details have changed ,"Enrol – You can enrol, check or update your details online at vote.nz using your **New Zealand drivers licence**, **New Zealand passport** or **verified RealMe identity**. You can also call 0800 36 76 56 to request an enrolment form, or free-text your name and address to 3676 to have a form sent to you. Providing your email address, phone number and postal address to the Electoral Commission will help them keep you updated about enrolment and voting.",https://elections.nz/assets/2026-General-Election/2026-Factsheet-Make-Sure-Youre-Enrolled-for-the-2026-General-Election-v2.pd 
,,I worry that my abusive ex partner will find my new confidential address if I enrol to vote. Can I enrol to vote without my information becoming publicly accessible?,I want to be on the unpublished roll,"Enrol – You can apply to be on the unpublished roll, which means your details will not appear on publicly available printed electoral rolls. 

To apply, you can download and complete an application form and email it to the Electoral Commission, or call 0800 36 76 56 to have a form sent to you by post. You will need to provide evidence explaining why you need to be on the unpublished roll, such as a letter from your employer, lawyer, social worker, advocate or another person of standing in the community explaining why your circumstances place you at risk. You can also provide documents such as a current protection order under the Family Violence Act 2018 or a restraining order under the Harassment Act 1997.

Vote – You can vote at any voting place in a general election, referendum or by-election. You will need to cast a [[special-vote]] because your details will not appear on the printed electoral roll used to issue voting papers at the voting place.",https://vote.nz/enrolling/get-ready-to-enrol/can-you-go-on-the-unpublished-roll & Electoral Act s 115 
,,,,,
,Health and disability ,,Health and disability ,,
,,"I have to get surgery on the Friday before polling day, how do I vote?",I will be/am currently in the hospital,"Enrol – You can enrol online or by completing a paper form, and you can have someone support you with the process if needed. Your enrolment address should be your usual residential address, not the hospital where you will be staying.

Vote – If you cannot get to a voting place because you are in hospital, you can authorise a friend or family member to collect your voting papers and bring them to you so you can cast a [[takeaway-vote]]. If you are scheduled to go into hospital before election day, it is best to vote in advance if you can. [[Advance-voting]] begins on **26 October**, 12 days before election day.",https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place  & https://elections.nz/guidance-and-rules/candidate-hub/resources/enrolment-and-resources-2  & Electoral Act s 72(5)
,,"I've been detained in a hospital or secure facility for more than 3 years, can I still enrol and vote?",I am sectioned under the Mental Health Act,"Enrol - If you’ve been detained in a hospital or secure facility for 3 years or less, you can enrol and vote, as long as you meet the general eligibility requirements for enrolment.

If you’ve been detained in a hospital or secure facility, or you’re subject to a compulsory treatment order, for more than three years, under:

- Section 24, or section 31 or section 33 of the Criminal Procedure (Mentally Impaired Persons) Act 2003, or under the corresponding provisions of the Criminal Justice Act 1985 (having been found unfit to stand trial or acquitted on account of insanity)
- Section 34 of the Criminal Procedure (Mentally Impaired Persons) Act 2003 or section 118 of the Criminal Justice Act 1985 (following conviction for an offence)
- Section 45(2) of the Mental Health (Compulsory Assessment and Treatment) Act 1992 (the Mental Health Act), or section 29(1) of the Intellectual Disability (Compulsory Care and Rehabilitation) Act 2003 (for treatment of persons otherwise detained in prison because of their mental health or intellectual disability)

then you are *ineligible* to enrol and vote while you’re detained.

The Director of Mental Health (or their delegate) is required to inform the Electoral Commission of any person detained in a hospital or secure facility who is, or becomes, ineligible to vote. The Electoral Commission will then remove them from the electoral roll.

When a person detained in a hospital or secure facility has been transferred from a prison or is released from the facility (as long as they are not released to prison), the Director of Mental Health is required to provide them with the opportunity to enrol to vote, if they are eligible. If they choose to exercise that opportunity, the Director of Mental Health must pass their enrolment information to the Electoral Commission.

Vote - If you have been detained for 3 years or less as at election day you can enrol to vote if you also meet the general eligibility requirements. If you are eligible to vote from your facility, you’ll be able to participate in the 2026 General Election if you choose to. The Electoral Commission will work with your facility to provide you with voting services.","- Section 24, or section 31 or section 33 of the Criminal Procedure (Mentally Impaired Persons) Act 2003, or under the corresponding provisions of the Criminal Justice Act 1985 (having been found unfit to stand trial or acquitted on account of insanity)
- Section 34 of the Criminal Procedure (Mentally Impaired Persons) Act 2003 or section 118 of the Criminal Justice Act 1985 (following conviction for an offence)
- Section 45(2) of the Mental Health (Compulsory Assessment and Treatment) Act 1992 (the Mental Health Act), or section 29(1) of the Intellectual Disability (Compulsory Care and Rehabilitation) Act 2003 (for treatment of persons otherwise detained in prison because of their mental health or intellectual disability)
then you are *ineligible* to enrol and vote while you’re detained."
,,I am partially blind and need help reading and marking the paper to vote,I am blind or have low vision,"Enrol - A support person can help you enrol online or via paper form if you're blind or have low vision. If you can't sign the form, a support person can complete the form on your behalf. 

Vote - You may bring a support person to assist you that can help you vote, read out the voting paper and mark the paper for you if necessary. Furthermore, a telephone dictation voting service is available for blind and vision-impaired voters and voters who have a physical disability that prevents them from marking the voting paper independently and in secret. You need to register to use this service, even if you've used it at previous elections.

Registration for the telephone dictation service opens on Monday 5 October 2026, and will close at noon (NZT) on election day, Saturday 7 November 2026.

Voting with the telephone dictation service opens on Wednesday 21 October 2026, and will close at 7pm (NZT) on election day, Saturday 7 November 2026.",https://vote.nz/voting/get-help-to-vote/need-help-to-vote & https://elections.nz/guidance-and-rules/candidate-hub/resources/enrolment-and-resources-2 & https://vote.nz/2026-general-election/voting-in-the-election/cant-get-to-a-voting-place Electoral Act s 170 & s 85.
,,"I have lost a lot of motor functions, including the use of my hands… can I vote? How do I seek assistance to vote? ",I have a physical disability,"Enrol – You can ask someone, such as a friend or family member, to support you in completing your enrolment form or to complete it on your behalf. A person who is enrolled to vote can complete and sign the form for you, and someone with power of attorney can also complete and sign it on your behalf. You can enrol online, or upload, email or post a completed form.

Vote – You can authorise someone to collect your voting papers from a voting place and bring them to you. This is known as a [[takeaway-vote]]. 

If you cannot get to a voting place and do not have someone who can collect your voting papers, contact your electorate manager. It may be possible for your voting papers to be delivered to you and then collected once you have completed them. 

You can also cast a vote in the [[advance-voting]] period and bring a support person with you to the voting place, including behind the voting screen if you would like.","https://vote.nz/enrolling/get-help-to-enrol/need-help-to-enrol?lang=en-NZ  & https://vote.nz/2026-general-election/voting-in-the-election/need-help-to-vote & Electoral Act s 170, s 167(2A), and s 85."
,,"I struggle with severe anxiety and don't know if I can vote on my own, how can I get help to enrol and vote?",I have a mental health issue,"Enrol - You can ask a support person to help you enrol online if you wish. A support person can also complete and sign an enrolment form on your behalf if you require help because of a mental impairment. To *sign* the enrolment form on your behalf, the support person must be enrolled to vote; have enduring power of attorney; or be the person’s appointed welfare guardian. If required, the support person can also fill in another form so we can contact them as your representative.

Vote - If you need help with voting, a friend, family member or electoral official can be your support person and assist you.

Your support person can:

- Go behind the voting screen with you
- Read out the words and information on your voting paper
- Mark the voting papers for you if you ask them to.
- Your support person can't tell you who you should vote for. 

You can vote as long as you want to and can clearly indicate your voting choice. However, you must be present and able to indicate you choice at the time the vote is cast. If you're not able to do this, no one can cast a vote on your behalf, even someone with power of attorney or guardianship.",https://vote.nz/enrolling/get-help-to-enrol/need-help-to-enrol?lang=en-N & https://vote.nz/voting/get-help-to-vote/need-help-to-vote & Electoral Act s 85
,,"My grandparent has dementia, can they still vote?",I have dementia or am helping someone with dementia,"Enrol - A support person can help someone with dementia to enrol to vote. A support person can also complete and sign an enrolment form on their behalf if they require help. 

To *sign* the enrolment form on their behalf, the support person must be enrolled to vote; have enduring power of attorney; or be the person’s appointed welfare guardian. If you're helping someone with dementia enrol, you will need to fill in another form so we can contact you as their representative. Ring 0800 36 76 56 for the form.

Vote - People living with dementia, or any other cognitive impairment, are able to continue to vote if they wish to do so. They can have help voting by taking a support person with them to the voting place.

A person with dementia can vote as long as they want to and can clearly indicate their voting choice. However, they must be present and able to indicate their choice at the time the vote is cast. If they're not able to do this, no one can cast a vote on their behalf, even someone with power of attorney or guardianship.",https://vote.nz/voting/get-help-to-vote/need-help-to-vote & Electoral Act s 85
,,I struggle with gripping pens/pencils to write and need help marking the voting papers,I need help marking the paper,"Vote - You may bring a support person to assist you, they can help you vote, read out the voting paper and mark the paper for you if necessary. Your support person cannot tell you who to vote for.",https://vote.nz/2026-general-election/voting-in-the-election/need-help-to-vote & Electoral Act s 170(1)
,,,,,
,"Prison, Remand, Home Detention etc",,"Prison, Remand, Home Detention etc",,
,,"I am serving a 6 month home detention sentence, how can I my vote if I can't leave home?",I am on home detention,"Enrol – If you are on home detention, you can still enrol to vote, provided you meet the general eligibility criteria. You can enrol online or by completing a paper form.

Vote – You can vote if you are on home detention or serving a community-based sentence. Election officials will provide your local Probation Services office with information about the voting options available to you.",https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote & https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place 
,,"I am currently serving a prison sentence of 2 years, can I still vote and will I be able to vote from prison?",I am in prison,"Enrol - You can still enrol, but this depends on when the offences you were sentenced for occured. If the offences you were sentenced for were before 20 December 2025 and your sentence is under 3 years, you can enrol and vote. Prison staff assist those who are eligible and enrolment applications are individually scanned and emailed to the Electoral Commission.

Voting - This depends on when the offences you were sentenced for occured. If the offences you were sentenced for were before 20 December 2025 and your sentence is under 3 years, you can vote. During the [[advance-voting]] period, mobile voting teams will attend prisons and set up voting facilities for prisoners who are eligible to vote. ","https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote & https://elections.nz/guidance-and-rules/candidate-hub/resources/enrolment-and-resources-2 & https://www.corrections.govt.nz/our_work/in_prison/being_in_prison/voting_in_prison. & Electoral Amendment Act 2025, ss 10 & 13."
,,"I'm in prison while on remand waiting for my trial, can I still enrol to vote?",I am on remand,"Enrol - If you're on remand, you can still enrol to vote if you meet the general eligibility criteria. You do not face the same restrictions as those who have been sentenced. If you are in prison while on remand, prison staff will assist those who are eligible and enrolment applications are individually scanned and emailed to the Electoral Commission.

Vote - If you're in a police cell in the electorate on election day, a voting team may visit before midday so you can vote. If you are in prison while on remand, during the [[advance-voting]] period, mobile voting teams will attend prisons and set up voting facilities for those who are eligible to vote. ",https://www.corrections.govt.nz/our_work/in_prison/being_in_prison/voting_in_prison & https://vote.nz/2026-general-election/voting-in-the-election/cant-get-to-a-voting-place & https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote 
,,I'm serving a community service sentence can I still vote?,I am on community service,"Enrol - If you're serving a community based sentence, you can still enrol to vote. You can do this online or via paper form.

Vote - You can vote if you're on home detention or serving a community-based sentence. Election officials will give your local Probation Services information about the voting options available to you. ",https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place & https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote. 
,,,,,
,Overseas Voters,,Overseas voters,,
,,"I am living or staying in Australia at the time of the election, can I still enrol and vote and how can I do it?",I am living overseas,"Enrol - If you are a New Zealand citizen, who has lived in New Zealand for more than 12 months continuously at some point in your life **AND** have been to New Zealand in the last 3 years - you are still eligible to enrol to vote. Your electorate will be where you last lived in New Zealand for longer than 1 month and you may set your postal address to your overseas address to ensure you receive correspondence. 

You can enrol online using a **New Zealand passport** or a **New Zealand drivers licence** or a **verified Realme login**. If you don't have either of these, you can also enrol via paper form.

Vote - You can cast a [[special-vote]].
The best way to vote from overseas is to download your voting papers from the electoral commission's website, complete them, then upload them online (you cannot send back voting papers through email). 

A link to download your voting papers will be available on the electoral commission's website from the date overseas voting opens on **21 October**. You can complete the papers both digitally (marking the paper digitally) or physically, if you choose to complete them by hand you can scan and upload them online, or you can post or hand deliver them to your nearest overseas voting place. 

If you're uploading your voting papers, you must return them by **7pm (NZ time)** on election day which is **7 November**.

You may also be able to vote at an overseas voting place. A list of overseas voting places will be available on the electoral commission's website prior to the election.",https://vote.nz/voting/how-to-vote/vote-from-overseas & https://vote.nz/enrolling/get-ready-to-enrol/enrol-from-overseas Electoral Act s 80(1)(a)+(b) and s 61(c)
,,"I am a member of the New Zealand Defence Force and stationed overseas, can I still enrol to vote?",I am overseas as a member of the military or diplomatic service,"Enrol - You can enrol and vote no matter how long you've been outside of New Zealand if you are one of the following: public servant working overseas and their families; New Zealand diplomats or trade representatives and their families; members of the New Zealand Defence Force and their families. 

You can enrol online using a **New Zealand passport** or a **New Zealand drivers licence** or a **verified Realme login**. If you don't have either of these, you can also enrol via paper form.

Vote - You can cast a [[special-vote]].
The best way to vote from overseas is to download your voting papers from the electoral commission’s website, complete them, then upload them (you cannot send back voting papers through email). 

A link to download your voting papers will be available on the electoral commission's website from the date overseas voting opens on **21 October**. You can complete the papers both digitally or physically, if you choose to complete them by hand you can scan and upload them online, or you can post or hand deliver them to your nearest overseas voting place. 

If you're uploading your voting papers, you must return them by **7pm (NZ time)** on election day which is **7 November**.
",https://vote.nz/voting/how-to-vote/vote-from-overseas & https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote & Electoral Act s 80(3)
,,"I am living somewhere temporarily for work for a few months, how do I vote?",I am a seasonal worker or temporarily living overseas for work,"Enrol - You can still enrol and vote if you are a New Zealand citizen or resident for electoral purposes and only residing outside of New Zealand temporarily for work (if you have been back to New Zealand in the last 3 years). Your residential address for enrolment purposes does not change because you are temporarily absent from it. 

You can enrol online using a **New Zealand passport** or a **New Zealand drivers licence** or a **verified Realme login**. If you don't have either of these, you can also enrol via paper form.

Vote - You can cast a [[special-vote]].
The best way to vote from overseas is to download your voting papers from the electoral commission’s website, complete them, then upload them (you cannot send back voting papers through email). 

A link to download your voting papers will be available on the electoral commission's website from the date overseas voting opens on **21 October**. You can complete the papers both digitally or physically, if you choose to complete them by hand you can scan and upload them online, or you can post or hand deliver them to your nearest overseas voting place.

If you're uploading your voting papers, you must return them by **7pm (NZ time)** on election day which is **7 November**.",https://vote.nz/voting/how-to-vote/vote-from-overseas & Electoral Act s 72(6)(a) 
,,,,,
,,,,,
,"Migrant in NZ, Residents & Language  ",,"Migrant in NZ, Residents & Language  ",,
,,"I am a migrant in NZ who has been here for 2 years and I have never voted before, am I able to vote?",I have migrated to New Zealand / I am a resident or visa holder,"Enrol - You can enrol to vote as a migrant, resident or visa holder **IF** you have a visa that does not require you to leave within a specified time **AND** you must have lived in New Zealand continuously for 12 months or more (this generally counts from your arrival to the country not from when you were granted your current visa). You do not have to be a permanent resident to enrol to vote. 

You also must not be subject to sections 15 or 16 of the Immigration Act, for example have a conviction for certain offenses.

Vote - You can cast a vote during the [[advance-voting]] period or cast an [[election-day-vote]].",https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote Electoral Act s 74(1)(b) and s 73 & Immigration Act s 15 and s 16
,,Can I take someone in to help me vote if I don't speak English?,I need help with English,"Enrol - Enrolment information is available in several different languages and accessible formats to help guide you. The enrolment form itself is in English, if you require help with this you are able to ask someone around you for help to complete it.

Vote - You are allowed to take a support person into the voting booth to help you translate, read and/or mark the voting papers. This can be a friend, family member or you may ask an electoral official to help you. They can go behind the voting screen with you to help, but they may not instruct you on who to vote for.",https://vote.nz/voting/get-help-to-vote/need-help-to-vote & https://vote.nz/enrolling/enrolment-in-your-language/enrolment-information-in-multiple-languages & Electoral Act s 170 and s 167(2A)
